date,Unnamed: 0.1,bdy_sent_pos,bdy_sent_neg,bdy_sent_neu,bdy_sent_compound,title_sent_pos,title_sent_neg,title_sent_neu,title_sent_compound
2018-01-31,33.5,0.07960089285714285,0.04695208333333334,0.8734251488095237,0.1322874330357143,0.10275000000000001,0.0608125,0.83646875,0.0740765625
2018-02-01,24.923076923076923,0.06250036630036632,0.06111355311355311,0.8763796703296703,-0.011739041514041508,0.03748717948717949,0.092,0.8705128205128208,-0.08794615384615383
2018-02-02,22.25,0.05944214285714285,0.054751666666666664,0.8858061904761904,0.06879855952380952,0.07747499999999999,0.049175,0.87335,0.04783
2018-02-03,29.0,0.10704636591478696,0.028160401002506264,0.8648195488721804,0.2581850877192982,0.10021052631578949,0.056921052631578956,0.8428157894736842,0.0959578947368421
2018-02-04,10.0,0.09535062656641605,0.05114448621553885,0.8535575187969925,0.12017924812030074,0.12094736842105264,0.0798421052631579,0.7992105263157894,0.058010526315789464
2018-02-05,32.029411764705884,0.08903088235294117,0.053971078431372554,0.856996568627451,0.09863519607843138,0.14476470588235293,0.06367647058823529,0.7915294117647056,0.10361176470588236
2018-02-06,24.914893617021278,0.07464888551165148,0.04922497467071935,0.8761256332320161,0.07518736068895644,0.09297872340425532,0.10595744680851062,0.8010425531914892,-0.012132978723404254
2018-02-07,24.5,0.09197057142857142,0.031523452380952374,0.8765243095238097,0.1493282880952381,0.1072,0.0245,0.8683,0.12730200000000003
2018-02-08,24.77777777777778,0.08641925925925925,0.02720333333333333,0.8863655555555555,0.19481255555555554,0.10984444444444444,0.022755555555555557,0.8673999999999998,0.12785222222222226
2018-02-09,20.12121212121212,0.07521053391053392,0.044695454545454545,0.8801010822510821,0.11250817460317458,0.07112121212121213,0.07163636363636365,0.8572121212121212,-0.014412121212121215
2018-02-10,24.0,0.07606877551020408,0.06431931972789115,0.8596071428571429,0.03155238775510203,0.09127142857142856,0.0714,0.8373428571428572,0.005438571428571429
2018-02-11,29.782608695652176,0.06521376811594203,0.05639202898550725,0.8783942028985506,0.026506645962732934,0.030043478260869564,0.0607391304347826,0.909217391304348,-0.07025217391304348
2018-02-12,21.536585365853657,0.08557499999999998,0.035979790940766546,0.8784513066202091,0.11830790940766546,0.058951219512195126,0.01639024390243902,0.9246585365853659,0.05392926829268293
2018-02-13,22.22222222222222,0.0830658201058201,0.05815314814814815,0.8587823015873018,0.07002646560846561,0.11583333333333336,0.053844444444444445,0.8302999999999999,0.07500222222222219
2018-02-14,34.5,0.07145192307692308,0.04654363553113553,0.8819788003663003,0.08848354395604395,0.08063461538461539,0.06165384615384616,0.8577115384615385,0.028965384615384615
